import time: self [us] | cumulative | imported package
import time:       774 |        774 |   _io
import time:       121 |        121 |   marshal
import time:       849 |        849 |   posix
import time:      1834 |       3576 | _frozen_importlib_external
import time:       290 |        290 |   time
import time:       451 |        741 | zipimport
import time:       159 |        159 |     _codecs
import time:       943 |       1101 |   codecs
import time:      1058 |       1058 |   encodings.aliases
import time:      1508 |       3665 | encodings
import time:       559 |        559 | encodings.utf_8
import time:       432 |        432 | _signal
import time:       138 |        138 |     _abc
import time:       717 |        854 |   abc
import time:       761 |       1615 | io
import time:       151 |        151 |       _stat
import time:       353 |        504 |     stat
import time:      2325 |       2325 |     _collections_abc
import time:       128 |        128 |       genericpath
import time:       269 |        397 |     posixpath
import time:       989 |       4213 |   os
import time:       197 |        197 |   _sitebuiltins
import time:       929 |        929 |   encodings.utf_8_sig
import time:       787 |        787 |     types
import time:       351 |        351 |     cuda
import time:      1313 |       2451 |   _cuda_bindings_redirector
import time:       846 |        846 |   _distutils_hack
import time:       172 |        172 |   sitecustomize
import time:      3960 |      12765 | site
import time:       442 |        442 |         _operator
import time:       898 |       1340 |       operator
import time:       347 |        347 |           itertools
import time:       362 |        362 |           keyword
import time:       450 |        450 |           reprlib
import time:       405 |        405 |           _collections
import time:      2452 |       4013 |         collections
import time:       161 |        161 |         _functools
import time:      1859 |       6032 |       functools
import time:      3420 |      10791 |     enum
import time:       172 |        172 |       _sre
import time:       580 |        580 |         re._constants
import time:       967 |       1547 |       re._parser
import time:       418 |        418 |       re._casefix
import time:      1194 |       3330 |     re._compiler
import time:       630 |        630 |     copyreg
import time:      2252 |      17002 |   re
import time:      1433 |       1433 |   warnings
import time:      2981 |       2981 |   gettext
import time:      3886 |      25301 | argparse
import time:       469 |        469 |       _json
import time:      1249 |       1717 |     json.scanner
import time:      1550 |       3266 |   json.decoder
import time:      1287 |       1287 |   json.encoder
import time:      1030 |       5581 | json
import time:       410 |        410 |     collections.abc
import time:       962 |        962 |         token
import time:       570 |        570 |         _tokenize
import time:      5358 |       6890 |       tokenize
import time:       844 |       7733 |     linecache
import time:      2526 |       2526 |     textwrap
import time:      1590 |       1590 |     contextlib
import time:      1857 |      14115 |   traceback
import time:       996 |        996 |     _weakrefset
import time:      1471 |       2466 |   weakref
import time:       255 |        255 |     _string
import time:      2390 |       2644 |   string
import time:      2075 |       2075 |   threading
import time:       130 |        130 |   atexit
import time:      4663 |      26091 | logging
import time:       421 |        421 |   fnmatch
import time:       140 |        140 |     _winapi
import time:       138 |        138 |     nt
import time:       140 |        140 |     nt
import time:       133 |        133 |     nt
import time:       143 |        143 |     nt
import time:       134 |        134 |     nt
import time:       141 |        141 |     nt
import time:       605 |       1572 |   ntpath
import time:       160 |        160 |   errno
import time:       321 |        321 |     urllib
import time:       508 |        508 |     math
import time:      3445 |       3445 |     ipaddress
import time:      4095 |       8367 |   urllib.parse
import time:      3022 |      13540 | pathlib
import time:      1100 |       1100 |   yaml.error
import time:      1843 |       1843 |   yaml.tokens
import time:      1210 |       1210 |   yaml.events
import time:       669 |        669 |   yaml.nodes
import time:     16969 |      16969 |     yaml.reader
import time:      1388 |       1388 |     yaml.scanner
import time:      1263 |       1263 |     yaml.parser
import time:       799 |        799 |     yaml.composer
import time:       833 |        833 |         _datetime
import time:       708 |       1540 |       datetime
import time:       623 |        623 |           _struct
import time:       561 |       1183 |         struct
import time:       795 |        795 |         binascii
import time:      1440 |       3417 |       base64
import time:      4510 |       9466 |     yaml.constructor
import time:      6324 |       6324 |     yaml.resolver
import time:      2220 |      38426 |   yaml.loader
import time:      1546 |       1546 |     yaml.emitter
import time:      1147 |       1147 |     yaml.serializer
import time:      1216 |       1216 |     yaml.representer
import time:      1683 |       5590 |   yaml.dumper
import time:      1433 |       1433 |     yaml._yaml
import time:      2132 |       3565 |   yaml.cyaml
import time:      3026 |      55425 | yaml
import time:       369 |        369 |   _locale
import time:      3338 |       3707 | locale
import time:       607 |        607 |   zlib
import time:      1325 |       1325 |     _compression
import time:      1152 |       1152 |     _bz2
import time:       922 |       3399 |   bz2
import time:       554 |        554 |     _lzma
import time:       884 |       1437 |   lzma
import time:      2084 |       7526 | shutil
