import time: self [us] | cumulative | imported package
import time:       690 |        690 |   _io
import time:       802 |        802 |   marshal
import time:       899 |        899 |   posix
import time:      1806 |       4196 | _frozen_importlib_external
import time:       237 |        237 |   time
import time:       362 |        598 | zipimport
import time:       116 |        116 |     _codecs
import time:       831 |        947 |   codecs
import time:      1093 |       1093 |   encodings.aliases
import time:      1794 |       3833 | encodings
import time:       474 |        474 | encodings.utf_8
import time:       255 |        255 | _signal
import time:        88 |         88 |     _abc
import time:       922 |       1010 |   abc
import time:       893 |       1902 | io
import time:       107 |        107 |       _stat
import time:       226 |        332 |     stat
import time:      2160 |       2160 |     _collections_abc
import time:       203 |        203 |       genericpath
import time:       945 |       1147 |     posixpath
import time:       940 |       4577 |   os
import time:       223 |        223 |   _sitebuiltins
import time:       703 |        703 |   encodings.utf_8_sig
import time:       741 |        741 |     types
import time:       311 |        311 |     cuda
import time:      1910 |       2962 |   _cuda_bindings_redirector
import time:       767 |        767 |   _distutils_hack
import time:       173 |        173 |   sitecustomize
import time:      3637 |      13038 | site
import time:       434 |        434 |         _operator
import time:      1174 |       1607 |       operator
import time:       457 |        457 |           itertools
import time:       391 |        391 |           keyword
import time:       456 |        456 |           reprlib
import time:       395 |        395 |           _collections
import time:      2208 |       3905 |         collections
import time:       173 |        173 |         _functools
import time:      2113 |       6190 |       functools
import time:      3609 |      11405 |     enum
import time:       201 |        201 |       _sre
import time:       549 |        549 |         re._constants
import time:       891 |       1439 |       re._parser
import time:       251 |        251 |       re._casefix
import time:      1211 |       3101 |     re._compiler
import time:       396 |        396 |     copyreg
import time:      1667 |      16567 |   re
import time:       977 |        977 |   warnings
import time:      1939 |       1939 |   gettext
import time:      3283 |      22764 | argparse
import time:       386 |        386 |       _json
import time:       978 |       1363 |     json.scanner
import time:      1643 |       3005 |   json.decoder
import time:      1581 |       1581 |   json.encoder
import time:       901 |       5487 | json
import time:       321 |        321 |     collections.abc
import time:       645 |        645 |         token
import time:       150 |        150 |         _tokenize
import time:      4886 |       5679 |       tokenize
import time:       591 |       6270 |     linecache
import time:      2197 |       2197 |     textwrap
import time:      1759 |       1759 |     contextlib
import time:      2030 |      12575 |   traceback
import time:       472 |        472 |     _weakrefset
import time:      1228 |       1699 |   weakref
import time:       106 |        106 |     _string
import time:      1538 |       1644 |   string
import time:      2094 |       2094 |   threading
import time:       157 |        157 |   atexit
import time:      5174 |      23340 | logging
import time:       582 |        582 |   fnmatch
import time:       210 |        210 |     _winapi
import time:       276 |        276 |     nt
import time:       304 |        304 |     nt
import time:       155 |        155 |     nt
import time:       101 |        101 |     nt
import time:       147 |        147 |     nt
import time:       140 |        140 |     nt
import time:      1174 |       2503 |   ntpath
import time:       184 |        184 |   errno
import time:       361 |        361 |     urllib
import time:       655 |        655 |     math
